               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/Tank_mAP, metrics/Tank_mAP_50
                  47,            0.037122,             0.01655,                   0,              0.9749,             0.94505,             0.96262,             0.72791,            0.030182,           0.0055654,                   0,             0.00241,             0.00241,             0.00241,             0.72791,             0.96262
                  48,            0.024346,            0.013222,                   0,             0.97742,             0.95128,              0.9656,             0.74474,            0.028251,           0.0055197,                   0,            0.002245,            0.002245,            0.002245,             0.74474,              0.9656
                  49,            0.030549,            0.016273,                   0,             0.95698,             0.94505,             0.97124,             0.74646,             0.02952,           0.0054449,                   0,             0.00208,             0.00208,             0.00208,             0.74646,             0.97124
                  50,            0.027055,            0.013315,                   0,             0.96652,             0.95188,             0.97243,             0.77975,            0.025931,             0.00537,                   0,            0.001915,            0.001915,            0.001915,             0.77975,             0.97243
                  51,            0.028928,            0.017496,                   0,             0.96389,             0.95604,             0.97251,             0.77105,            0.025721,           0.0052913,                   0,             0.00175,             0.00175,             0.00175,             0.77105,             0.97251
                  52,            0.035176,            0.015499,                   0,             0.96058,             0.95604,             0.97268,              0.7846,            0.024472,           0.0051996,                   0,            0.001585,            0.001585,            0.001585,              0.7846,             0.97268
                  53,            0.029515,            0.014316,                   0,             0.96385,             0.96703,             0.97288,              0.7887,            0.024201,            0.005144,                   0,             0.00142,             0.00142,             0.00142,              0.7887,             0.97288
                  54,            0.033808,            0.015913,                   0,             0.96293,             0.96703,             0.97311,              0.7884,            0.024294,           0.0051089,                   0,            0.001255,            0.001255,            0.001255,              0.7884,             0.97311
                  55,            0.026268,             0.01596,                   0,             0.96121,             0.96703,              0.9732,             0.79272,            0.023635,           0.0050643,                   0,             0.00109,             0.00109,             0.00109,             0.79272,              0.9732
                  56,             0.02226,            0.013909,                   0,             0.96259,             0.96703,              0.9732,             0.79757,            0.024183,           0.0050528,                   0,            0.000925,            0.000925,            0.000925,             0.79757,              0.9732
                  57,            0.023598,            0.014345,                   0,             0.96327,             0.96703,             0.97297,              0.7952,            0.024453,           0.0050406,                   0,             0.00076,             0.00076,             0.00076,              0.7952,             0.97297
                  58,             0.02936,            0.018191,                   0,             0.96702,             0.96669,             0.97297,             0.79779,             0.02408,           0.0050307,                   0,            0.000595,            0.000595,            0.000595,             0.79779,             0.97297
                  59,            0.029644,            0.014133,                   0,             0.96697,             0.96513,             0.97286,             0.79926,            0.023963,           0.0050262,                   0,             0.00043,             0.00043,             0.00043,             0.79926,             0.97286
